tape,ABABABABCACB
initial_state,state0
head_position,0
state0,A,XX,state1
state0,B,R,state0
state0,C,R,state0
state0,X,R,state0
state0,_,X_,state6
state1,X,R__,state1
state1,_,R,state2
state2,A,R,state2
state2,_,XA,state3
state3,A,L__,state4
state4,_,L__,state5
state5,_,R,state0
state6,_,L__,state7
state7,_,R,state8
state8,X,XA,state8
state8,A,R,state8
state8,B,R,state8
state8,C,R,state8
state8,_,L__,state14
state9,A,R,state9
state9,B,XX,state10
state9,C,R,state9
state9,X,R,state9
state9,_,L__,state15
state10,X,R__,state10
state10,_,R,state11
state11,A,R,state11
state11,B,R,state11
state11,_,XB,state12
state12,B,L__,state13
state13,_,L__,state14
state14,_,R,state9
state15,_,R,state16
state16,A,R,state16
state16,B,R,state16
state16,C,R,state16
state16,X,XB,state16
state16,_,L__,state17
state17,_,R,state18
state18,A,R,state18
state18,B,R,state18
state18,C,XX,state19
state18,X,R,state18
state18,_,L__,state23
state19,X,R__,state19
state19,_,R,state20
state20,A,R,state20
state20,B,R,state20
state20,C,R,state20
state20,_,XC,state21
state21,C,L__,state22
state22,_,L__,state17
state23,_,R,state24
state24,A,R,state24
state24,B,R,state24
state24,C,R,state24
state24,X,XC,state24
state24,_,X_,halt
